City_ID,City,Country,Lat,Lng,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Rain inches (past 3 hours),Snow inches (past 3 hours)
197,Thoen,TH,17.61,99.22,78.94,78.94,81,93,0.98,0,0
198,Comodoro Rivadavia,AR,-45.87,-67.5,57.2,57.2,54,35,11.41,0,0
199,Saint-Augustin,CA,51.23,-58.65,34.27,34.27,90,99,12.48,0,0
200,Redding,US,40.59,-122.39,91.99,89.01,22,1,3.36,0,0
201,Bay Point,US,38.03,-121.96,87.01,82.99,27,1,5.82,0,0
202,Taganak,PH,6.08,118.3,80.6,80.01,94,20,3.36,0,0
203,Kavieng,PG,-2.57,150.8,85.32,85.32,71,2,8.48,0,0
204,Khatanga,RU,71.97,102.5,19.85,19.85,97,11,7.23,0,0
205,Ashtian,IR,34.52,50.0,57.47,57.47,60,100,5.19,0,0
206,Hami,CN,42.8,93.45,54.18,54.18,35,0,3.65,0,0
207,Chillicothe,US,39.33,-82.98,52.0,48.2,31,75,12.75,0,0
208,Maceio,BR,-9.67,-35.74,80.6,80.6,74,20,4.7,0,0
209,Mchinji,MW,-13.8,32.88,54.7,54.7,87,5,4.14,0,0
210,Mount Gambier,AU,-37.83,140.77,41.0,41.0,93,90,9.17,0,0
211,Sinnai,IT,39.3,9.2,66.2,66.2,82,20,11.41,0,0
212,Sovetskaya Gavan,RU,48.97,140.29,44.44,44.44,63,100,3.53,0,0
213,Kavaratti,IN,10.57,72.64,85.35,85.35,71,32,7.81,0,0
214,Log,RU,49.48,43.86,47.79,47.79,86,0,9.22,0,0
215,Grindavik,IS,63.84,-22.43,39.2,39.2,51,20,5.82,0,0
216,Garissa,KE,-0.45,39.64,78.26,78.26,70,53,16.04,0,0
217,Keelung,TW,25.13,121.74,84.0,80.6,88,75,3.36,0,0
218,Brezno,SK,48.8,19.64,48.0,48.0,56,77,1.01,0,0
219,Port Blair,IN,11.67,92.75,82.53,82.53,80,93,2.06,0,0
220,Hurghada,EG,27.26,33.81,75.2,75.2,33,0,3.36,0,0
221,Plettenberg Bay,ZA,-34.05,23.37,66.33,66.33,48,3,2.64,0,0
222,Beringovskiy,RU,63.05,179.32,33.8,33.8,96,100,26.78,0,0
223,Kabompo,ZM,-13.59,24.2,60.94,60.94,70,59,6.26,0,0
224,Cabo San Lucas,MX,22.89,-109.91,91.4,84.99,9,40,11.41,0,0
225,Yendi,GH,9.44,-0.01,82.13,82.13,71,80,7.94,0,0
226,Lugazi,UG,0.38,32.92,69.8,69.8,94,20,2.89,0,0
227,Rovenki,UA,48.08,39.38,44.87,44.87,92,85,7.14,0,0
228,Unai,BR,-16.36,-46.91,65.84,65.84,86,36,2.66,0,0
229,Santa Cruz,BO,-17.8,-63.17,75.2,73.4,50,0,12.75,0,0
230,Guaruja,BR,-23.99,-46.26,66.2,66.0,82,40,1.12,0,0
231,Mackay,AU,-21.15,149.2,72.0,68.0,88,1,5.82,0,0
232,Kormilovka,RU,55.0,74.1,57.2,57.2,50,0,6.71,0,0
233,Ulaangom,MN,49.98,92.07,43.38,43.38,53,0,0.72,0,0
234,Lumberton,US,34.62,-79.01,64.4,64.0,25,1,10.29,0,0
235,Bikin,RU,46.82,134.26,51.33,51.33,94,100,3.42,0,0
236,Grand Gaube,MU,-20.01,57.66,71.01,71.01,83,0,1.99,0,0
237,Olafsvik,IS,64.89,-23.71,37.85,37.85,68,1,3.22,0,0
238,Borovoy,RU,55.43,86.08,53.6,53.6,62,9,2.24,0,0
239,Najran,SA,17.49,44.13,77.0,77.0,44,0,1.88,0,0
240,Ostersund,SE,63.18,14.64,33.8,33.8,86,83,2.73,0,0
241,Manta,EC,-0.95,-80.73,84.2,84.2,62,20,14.99,0,0
242,Beloha,MG,-25.17,45.05,65.62,65.62,86,12,12.15,0,0
243,Cherskiy,RU,68.75,161.3,41.99,41.99,71,100,10.83,0,0
244,Labuan,MY,5.28,115.24,80.6,80.01,94,75,1.12,0,0
245,Pochutla,MX,15.74,-96.47,89.6,89.01,62,20,7.07,0,0
246,Marsa Matruh,EG,31.35,27.25,59.0,59.0,72,0,8.52,0,0
247,Dhidhdhoo,MV,6.88,73.1,84.67,84.67,75,100,5.77,0,0
248,Iqaluit,CA,63.75,-68.51,37.4,37.0,69,75,9.17,0,0
249,Maragogipe,BR,-12.78,-38.92,80.6,80.6,69,75,21.92,0,0
250,Hastings,GB,50.86,0.57,57.99,55.0,63,98,1.99,0,0
251,Umm Kaddadah,SD,13.6,26.69,81.72,81.72,12,78,13.96,0,0
252,Meulaboh,ID,4.14,96.13,77.0,77.0,90,100,4.85,0,0
253,Mweka,CD,-4.85,21.57,71.19,71.19,86,95,1.9,0,0
254,Camocim,BR,-2.9,-40.84,78.12,78.12,85,15,6.89,0,0
255,Semirom,IR,31.42,51.57,52.7,52.7,68,99,13.44,0,0
256,Russell,US,32.35,-85.2,69.8,66.0,30,1,8.05,0,0
257,Buta,CD,2.79,24.73,69.57,69.57,98,100,1.92,0,0
258,Ust-Tsilma,RU,65.44,52.15,40.37,40.37,87,55,4.07,0,0
259,Coahuayana,MX,18.73,-103.68,87.8,87.8,45,40,11.41,0,0
260,Vercheres,CA,45.78,-73.35,41.0,39.0,54,100,8.01,0,0
261,Boyolangu,ID,-8.12,111.89,75.42,75.42,88,100,0.96,0,0
262,Kloulklubed,PW,7.04,134.26,78.8,78.8,88,90,6.93,0,0
263,Isangel,VU,-19.55,169.27,73.4,73.4,94,20,14.47,0,0
264,Kaeo,NZ,-35.1,173.78,66.0,64.0,3,93,1.01,0,0
265,Bafoulabe,ML,13.81,-10.83,96.12,96.12,17,81,4.79,0,0
266,Esil,KZ,51.96,66.4,61.38,61.38,48,96,9.82,0,0
267,Inhambane,MZ,-23.86,35.38,68.61,68.61,85,11,10.0,0,0
268,Malmo,SE,55.61,13.0,55.0,48.99,87,13,5.82,0,0
269,New Castle,US,41.0,-80.35,44.01,42.01,38,90,6.93,0,0
270,Berlevag,NO,70.86,29.09,30.85,30.85,90,96,6.08,0,0
271,Rorvik,NO,64.86,11.24,35.91,35.91,82,100,21.97,0,0
272,Shache,CN,38.42,77.24,60.44,60.44,62,100,12.66,0,0
273,Acapulco,MX,16.86,-99.89,86.0,86.0,70,5,8.05,0,0
274,Cattolica,IT,43.96,12.74,66.99,59.0,72,31,2.24,0,0
275,Bajil,YE,15.06,43.29,89.47,89.47,47,0,2.55,0,0
276,Serenje,ZM,-13.23,30.24,54.39,54.39,88,43,8.46,0,0
277,Bethanien,NA,-26.5,17.16,69.08,69.08,25,0,10.18,0,0
278,Sampit,ID,-2.53,112.95,75.63,75.63,93,100,2.3,0,0
279,Solano,US,38.23,-121.95,87.8,77.0,28,1,16.11,0,0
280,Marzuq,YE,14.4,46.47,77.04,77.04,24,23,5.28,0,0
281,Awbari,LY,26.59,12.78,81.88,81.88,15,0,11.07,0,0
282,Sitka,US,57.05,-135.33,69.8,69.8,28,75,11.41,0,0
283,Marawi,PH,8.0,124.29,80.01,80.01,82,92,5.01,0,0
284,Slavonski Brod,HR,45.16,18.02,61.0,57.99,79,5,3.98,0,0
285,Luanda,AO,-8.84,13.23,80.6,80.6,88,75,8.05,0,0
286,Mayo,US,38.89,-76.51,50.0,48.0,39,75,11.41,0,0
287,Provideniya,RU,64.38,-173.3,39.65,39.65,76,100,33.35,0,0
288,Linxia,CN,35.6,103.21,47.46,47.46,54,0,1.23,0,0
289,Flinders,AU,-34.58,150.86,54.0,54.0,58,0,8.01,0,0
290,Eyl,SO,7.98,49.82,82.8,82.8,75,37,6.15,0,0
291,Truckee,US,39.33,-120.18,77.0,68.0,16,5,4.7,0,0
292,Lavrentiya,RU,65.58,-171.0,35.15,35.15,92,100,10.22,0,0
293,Necochea,AR,-38.55,-58.74,57.99,57.99,73,0,4.0,0,0
294,Tuatapere,NZ,-46.13,167.68,58.46,58.46,75,91,7.05,0,0
295,Tifton,US,31.45,-83.51,73.4,71.6,30,1,8.05,0,0
296,Afyonkarahisar,TR,38.75,30.67,46.24,46.24,57,0,4.14,0,0
297,Port Hardy,CA,50.7,-127.42,68.0,68.0,45,75,3.36,0,0
298,Cuiluan,CN,47.72,128.65,58.12,58.12,56,40,3.31,0,0
299,Ushtobe,KZ,45.25,77.98,63.9,63.9,66,100,7.54,0,0
300,Whyalla,AU,-33.03,137.58,44.6,44.6,93,1,5.82,0,0
301,Tamesis,CO,5.66,-75.71,86.0,64.99,35,75,11.41,0,0
302,Egvekinot,RU,66.32,-179.17,31.89,31.89,99,100,17.4,0,0
303,Cruzeiro Do Sul,BR,-29.51,-51.99,55.0,55.0,88,8,1.3,0,0
304,Minbu,MM,20.18,94.88,82.85,82.85,45,0,2.35,0,0
305,Hobyo,SO,5.35,48.53,83.5,83.5,79,71,8.19,0,0
306,Ikalamavony,MG,-21.15,46.58,60.82,60.82,80,13,7.52,0,0
307,Dongsheng,CN,39.82,109.98,44.49,44.49,49,0,17.25,0,0
308,Lagoa,PT,39.05,-27.98,62.83,62.83,92,100,26.13,0,0
309,Northam,GB,51.03,-4.22,55.99,55.0,89,73,1.99,0,0
310,Tharad,IN,24.4,71.63,79.07,79.07,84,0,7.43,0,0
311,Amantea,IT,39.13,16.07,57.0,55.4,76,83,4.7,0,0
312,Luwero,UG,0.85,32.47,66.36,66.36,98,100,2.17,0,0
313,Thaba-Tseka,LS,-29.52,28.61,42.19,42.19,62,0,0.92,0,0
314,Rio Grande,BR,-32.03,-52.1,61.0,61.0,84,5,11.39,0,0
315,Smirnykh,RU,49.75,142.83,47.25,47.25,63,99,1.79,0,0
316,Bageshwar,IN,29.85,79.77,61.02,61.02,69,38,3.0,0,0
317,Zaysan,KZ,47.47,84.87,59.68,59.68,31,89,5.88,0,0
318,Novoilinsk,RU,51.68,108.71,41.31,41.31,66,2,7.18,0,0
319,Padang,ID,-0.95,100.35,79.12,79.12,70,93,3.49,0,0
320,Ayan,RU,56.45,138.17,38.46,38.46,72,26,11.25,0,0
321,Clocolan,ZA,-28.91,27.57,47.14,47.14,50,0,2.15,0,0
322,Prescott,US,34.54,-112.47,82.99,77.0,15,1,11.41,0,0
323,Dong Xoai,VN,11.53,106.92,78.21,78.21,83,82,3.22,0,0
324,Talara,PE,-4.58,-81.27,72.55,72.55,81,7,14.54,0,0
325,Maues,BR,-3.38,-57.72,76.86,76.86,94,81,0.74,0,0
326,Itarema,BR,-2.92,-39.92,78.17,78.17,85,5,6.38,0,0
327,Bismil,TR,37.85,40.67,55.4,53.6,100,40,6.93,0,0
328,Porosozero,RU,62.72,32.73,32.13,32.13,98,9,6.06,0,0
329,Zhigansk,RU,66.77,123.37,19.35,19.35,96,20,10.87,0,0
330,Sungai Besar,MY,3.67,100.99,78.8,78.01,94,20,2.95,0,0
331,Port Hawkesbury,CA,45.62,-61.35,41.0,39.99,80,90,17.22,0,0
332,Murdochville,CA,48.96,-65.5,28.62,28.62,98,100,8.16,0,0
333,Minab,IR,27.15,57.08,78.8,78.8,74,39,4.7,0,0
334,Norrtalje,SE,59.76,18.7,44.01,41.0,73,22,7.0,0,0
335,Grand-Santi,GF,4.25,-54.38,74.26,74.26,97,86,2.86,0,0
336,Parakou,BJ,9.34,2.63,75.47,75.47,85,95,5.66,0,0
337,Namatanai,PG,-3.67,152.43,85.91,85.91,66,1,5.73,0,0
338,Waipawa,NZ,-41.41,175.52,61.0,59.0,77,0,16.11,0,0
339,San Jeronimo,PE,-11.95,-75.28,52.9,52.9,67,68,4.72,0,0
340,Altay,CN,47.87,88.12,51.37,51.37,38,0,4.09,0,0
341,De-Kastri,RU,51.47,140.78,47.97,47.97,56,0,4.72,0,0
342,Orebro,SE,59.27,15.21,46.0,41.0,84,28,3.83,0,0
