City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
200,Leeds,GB,2020-05-06 09:34:52,53.8,-1.55,53.01,66,20,8.05
201,Arman,RU,2020-05-06 09:37:00,59.7,150.17,33.94,84,86,11.32
202,Kanker,IN,2020-05-06 09:37:00,20.27,81.49,91.56,31,82,6.73
203,Dhidhdhoo,MV,2020-05-06 09:37:00,6.88,73.1,85.87,76,97,10.16
204,Dikson,RU,2020-05-06 09:37:01,73.51,80.55,10.71,93,1,12.48
205,Todos Santos,MX,2020-05-06 09:37:01,23.45,-110.22,75.0,44,0,1.99
206,Sechura,PE,2020-05-06 09:37:01,-5.56,-80.82,72.9,70,69,5.08
207,Scottsbluff,US,2020-05-06 09:37:01,41.87,-103.67,35.6,93,1,3.36
208,Ponta Do Sol,PT,2020-05-06 09:37:01,32.67,-17.1,66.2,77,75,5.82
209,Atar,MR,2020-05-06 09:37:02,20.52,-13.05,89.6,17,0,10.29
210,Hasaki,JP,2020-05-06 09:37:02,35.73,140.83,59.0,100,75,5.82
211,Luanda,AO,2020-05-06 09:37:02,-8.84,13.23,82.4,74,75,4.7
212,Mogadouro,PT,2020-05-06 09:37:02,41.34,-6.71,63.25,52,94,1.68
213,Nelson Bay,AU,2020-05-06 09:37:02,-32.72,152.15,60.8,87,0,6.93
214,Ostrovnoy,RU,2020-05-06 09:37:03,68.05,39.51,37.94,89,1,21.39
215,Kaitangata,NZ,2020-05-06 09:37:03,-46.28,169.85,51.01,75,96,3.0
216,Sao Joao Da Barra,BR,2020-05-06 09:37:03,-21.64,-41.05,69.8,88,7,9.17
217,Vestmannaeyjar,IS,2020-05-06 09:37:03,63.44,-20.27,42.8,81,90,8.05
218,Muscat,OM,2020-05-06 09:37:03,23.61,58.59,95.0,50,20,14.99
219,Hirara,JP,2020-05-06 09:37:04,24.8,125.28,77.0,78,75,13.87
220,Calvinia,ZA,2020-05-06 09:37:04,-31.47,19.78,71.6,22,1,10.29
221,Teknaf,BD,2020-05-06 09:37:04,20.86,92.31,87.01,69,0,11.12
222,Angoram,PG,2020-05-06 09:37:04,-4.06,144.07,76.78,95,97,2.15
223,Acapulco,MX,2020-05-06 09:32:38,16.86,-99.89,77.0,88,40,5.82
224,Clyde River,CA,2020-05-06 09:37:04,70.47,-68.59,1.4,84,1,3.36
225,Sinnamary,GF,2020-05-06 09:37:04,5.38,-52.95,78.75,87,100,10.98
226,Freetown,SL,2020-05-06 09:37:05,8.48,-13.23,82.56,81,96,5.64
227,Yulara,AU,2020-05-06 09:37:05,-25.24,130.99,75.2,8,23,5.82
228,Sao Joao Do Paraiso,BR,2020-05-06 09:37:05,-15.31,-42.01,63.46,93,88,3.29
229,Bethanien,NA,2020-05-06 09:37:05,-26.5,17.16,80.82,15,0,11.43
230,Poum,NC,2020-05-06 09:37:05,-20.23,164.02,71.31,76,100,9.1
231,Kapit,MY,2020-05-06 09:37:05,2.02,112.93,83.84,80,89,3.49
232,Jalu,LY,2020-05-06 09:37:06,29.03,21.55,83.12,15,0,1.57
233,Prince Rupert,CA,2020-05-06 09:37:06,54.32,-130.32,48.2,78,40,5.82
234,Erdenet,MN,2020-05-06 09:37:06,49.03,104.08,47.53,52,88,10.0
235,Havre-Saint-Pierre,CA,2020-05-06 09:37:06,50.23,-63.6,35.6,59,90,17.22
236,Matara,LK,2020-05-06 09:37:06,5.95,80.54,81.52,87,100,10.31
237,Abu Dhabi,AE,2020-05-06 09:37:06,24.47,54.37,104.0,15,25,8.05
238,Naze,JP,2020-05-06 09:37:07,28.37,129.48,75.2,88,40,13.87
239,Cap Malheureux,MU,2020-05-06 09:37:07,-19.98,57.61,82.0,70,7,7.0
240,College,US,2020-05-06 09:37:07,64.86,-147.8,46.0,69,20,4.7
241,Sorong,ID,2020-05-06 09:37:07,-0.88,131.25,83.8,76,10,5.55
242,Tiznit,MA,2020-05-06 09:37:07,29.58,-9.5,76.89,31,50,3.98
243,Nizwa,OM,2020-05-06 09:37:07,22.93,57.53,102.87,13,0,12.62
244,Malakal,SS,2020-05-06 09:37:08,9.53,31.66,99.0,32,69,5.77
245,Florianopolis,BR,2020-05-06 09:33:17,-27.61,-48.5,66.2,82,100,6.93
246,Kazachinskoye,RU,2020-05-06 09:37:08,57.7,93.28,53.46,43,29,10.83
247,Sao Filipe,CV,2020-05-06 09:37:08,14.9,-24.5,76.51,67,27,8.32
248,Gidam,IN,2020-05-06 09:37:08,18.98,81.4,95.74,34,13,10.83
249,Itoman,JP,2020-05-06 09:37:08,26.12,127.67,75.2,88,75,9.17
250,Aguimes,ES,2020-05-06 09:37:08,27.91,-15.45,71.6,60,20,19.46
251,Viedma,AR,2020-05-06 09:37:09,-40.81,-63.0,45.07,71,0,7.25
252,Gazanjyk,TM,2020-05-06 09:37:09,39.24,55.52,91.99,20,30,27.58
253,Kenai,US,2020-05-06 09:33:05,60.55,-151.26,39.2,55,1,3.36
254,Vao,NC,2020-05-06 09:37:09,-22.67,167.48,72.27,72,100,26.98
255,Merritt Island,US,2020-05-06 09:36:44,28.54,-80.67,72.0,83,1,5.82
256,Kita,ML,2020-05-06 09:37:09,13.03,-9.49,98.24,27,72,8.16
257,Oranjestad,AW,2020-05-06 09:35:31,12.52,-70.03,80.6,83,40,19.46
258,Karachi,PK,2020-05-06 09:33:43,24.91,67.08,98.6,42,0,11.41
259,Palmas,BR,2020-05-06 09:37:10,-10.21,-48.36,75.2,94,40,4.7
260,Komsomolskiy,UZ,2020-05-06 09:37:10,40.43,71.72,78.8,27,99,4.7
261,Talnakh,RU,2020-05-06 09:37:10,69.49,88.4,30.2,80,75,13.42
262,Qandala,SO,2020-05-06 09:37:10,11.47,49.87,91.36,50,3,8.79
263,Ilulissat,GL,2020-05-06 09:37:10,69.22,-51.1,24.8,58,79,4.7
264,Broome,US,2020-05-06 09:37:11,42.25,-75.83,35.01,55,1,8.05
265,San Quintin,MX,2020-05-06 09:37:11,30.48,-115.95,64.8,79,0,8.37
266,Xining,CN,2020-05-06 09:37:11,36.62,101.77,61.59,43,94,26.17
267,Logan,US,2020-05-06 09:35:39,41.74,-111.83,50.0,49,1,4.7
268,Alappuzha,IN,2020-05-06 09:37:11,9.49,76.33,87.48,73,49,10.27
269,Uyuni,BO,2020-05-06 09:37:11,-20.46,-66.83,39.2,61,47,7.18
270,Hailey,US,2020-05-06 09:37:12,43.52,-114.32,46.4,49,1,4.7
271,Suntar,RU,2020-05-06 09:37:12,62.14,117.63,50.56,69,100,6.55
272,Kushima,JP,2020-05-06 09:37:12,31.46,131.23,71.6,83,75,9.17
273,Yar-Sale,RU,2020-05-06 09:37:12,66.83,70.83,34.07,96,28,11.63
274,Avanigadda,IN,2020-05-06 09:37:12,16.02,80.92,98.31,39,0,10.89
275,Yaransk,RU,2020-05-06 09:37:13,57.3,47.89,71.37,42,0,17.74
276,Esso,RU,2020-05-06 09:37:13,55.93,158.7,29.19,94,100,4.38
277,Erzin,TR,2020-05-06 09:37:13,36.96,36.2,71.01,62,0,11.01
278,Dingle,PH,2020-05-06 09:37:13,11.0,122.67,85.73,72,92,4.74
279,Longyearbyen,SJ,2020-05-06 09:34:25,78.22,15.64,33.8,69,75,18.34
280,Gigmoto,PH,2020-05-06 09:37:13,13.78,124.39,83.25,82,41,5.97
281,Hofn,IS,2020-05-06 09:37:13,64.25,-15.21,50.0,70,100,6.93
282,Toktogul,KG,2020-05-06 09:37:14,41.87,72.94,62.11,51,99,0.6
283,Olafsvik,IS,2020-05-06 09:37:14,64.89,-23.71,42.08,86,100,8.88
284,Saucillo,MX,2020-05-06 09:37:14,28.02,-105.28,67.28,59,0,5.39
285,Beloha,MG,2020-05-06 09:37:14,-25.17,45.05,82.74,42,77,7.07
286,Oistins,BB,2020-05-06 09:37:14,13.07,-59.53,80.6,74,75,20.8
287,Biloela,AU,2020-05-06 09:37:14,-24.42,150.5,62.19,62,1,8.68
288,Chokurdakh,RU,2020-05-06 09:37:14,70.63,147.92,17.85,96,95,4.25
289,Tessalit,ML,2020-05-06 09:37:15,20.2,1.01,102.47,8,0,13.62
290,Sangolqui,EC,2020-05-06 09:37:15,-0.33,-78.45,51.8,93,40,2.24
291,Brae,GB,2020-05-06 09:37:15,60.4,-1.35,48.2,70,75,13.87
292,Sembakung,ID,2020-05-06 09:37:15,3.82,117.25,83.21,77,17,4.32
293,Kozhevnikovo,RU,2020-05-06 09:37:15,56.26,83.97,46.99,74,100,13.82
294,Katakwi,UG,2020-05-06 09:37:15,1.89,33.97,81.27,60,8,4.25
295,Nago,JP,2020-05-06 09:37:15,26.59,127.98,73.4,94,90,4.7
296,Raga,SS,2020-05-06 09:37:16,8.46,25.68,96.85,37,55,4.99
297,Tanete,ID,2020-05-06 09:37:16,-3.94,119.78,81.46,83,33,1.72
298,Ukiah,US,2020-05-06 09:37:16,39.15,-123.21,50.0,81,1,5.14
299,Isabela,PH,2020-05-06 09:37:16,6.71,121.97,86.0,74,20,6.93
300,Aklavik,CA,2020-05-06 09:37:16,68.22,-135.01,21.2,92,90,11.41
301,Newport,GB,2020-05-06 09:37:16,51.59,-3.0,53.01,71,1,12.75
302,Muisne,EC,2020-05-06 09:37:16,0.6,-80.03,77.41,83,100,5.5
303,Kinablangan,PH,2020-05-06 09:37:16,7.69,126.55,82.27,74,53,2.13
304,Pemangkat,ID,2020-05-06 09:37:17,1.17,108.97,82.74,84,80,10.04
305,Mogadishu,SO,2020-05-06 09:32:46,2.04,45.34,86.0,66,40,11.41
