City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
257,Buta,CD,69.57,2.79,24.73,HOTEL BISO NA BISO
259,Coahuayana,MX,87.8,18.73,-103.68,Hotel Los Arcos
261,Boyolangu,ID,75.42,-8.12,111.89,Hotel Istana
262,Kloulklubed,PW,78.8,7.04,134.26,Carp Island Resort
263,Isangel,VU,73.4,-19.55,169.27,Volcano Sea View Tree House
264,Kaeo,NZ,66.0,-35.1,173.78,Prima a Situ
266,Esil,KZ,61.38,51.96,66.4,Egorkino Hotel
267,Inhambane,MZ,68.61,-23.86,35.38,MHL Turismo SA
272,Shache,CN,60.44,38.42,77.24,Delong Hotel
273,Acapulco,MX,86.0,16.86,-99.89,HS Hotsson Smart Acapulco
275,Bajil,YE,89.47,15.06,43.29,فندق الصقر السياحي
277,Bethanien,,69.08,-26.5,17.16,Bethanie Guesthouse
278,Sampit,ID,75.63,-2.53,112.95,Aquarius Boutique Hotel Sampit
279,Solano,US,87.8,38.23,-121.95,Econo Lodge
280,Marzuq,YE,77.04,14.4,46.47,
281,Awbari,LY,81.88,26.59,12.78,فندق أوباري
282,Sitka,US,69.8,57.05,-135.33,Westmark Sitka
283,Marawi,PH,80.01,8.0,124.29,Derogongan Residence
285,Luanda,AO,80.6,-8.84,13.23,EPIC SANA Luanda
290,Eyl,SO,82.8,7.98,49.82,Amiin Hotel
291,Truckee,US,77.0,39.33,-120.18,"The Ritz-Carlton, Lake Tahoe"
295,Tifton,US,73.4,31.45,-83.51,Hilton Garden Inn Tifton
297,Port Hardy,CA,68.0,50.7,-127.42,Providence Place
299,Ushtobe,KZ,63.9,45.25,77.98,"Gostinitsa ""Diyar"""
301,Tamesis,CO,86.0,5.66,-75.71,Finca-hotel El Contento
304,Minbu,MM,82.85,20.18,94.88,Kaung Thar Guest House - Burmese Only
305,Hobyo,SO,83.5,5.35,48.53,
306,Ikalamavony,MG,60.82,-21.15,46.58,
308,Lagoa,PT,62.83,39.05,-27.98,Graciosa Resort - Biosphere Island Hotel
310,Tharad,IN,79.07,24.4,71.63,Shree Nandan Couriyar Service
312,Luwero,UG,66.36,0.85,32.47,Nimrod Hotel
314,Rio Grande,BR,61.0,-32.03,-52.1,Swan Express Rio Grande
316,Bageshwar,IN,61.02,29.85,79.77,Kasar Rainbow Resort
319,Padang,ID,79.12,-0.95,100.35,Mercure Padang
322,Prescott,US,82.99,34.54,-112.47,Prescott Resort & Conference Center
323,Dong Xoai,VN,78.21,11.53,106.92,BomBo Hotel
324,Talara,PE,72.55,-4.58,-81.27,Las Dunas de Vichayito
325,Maues,BR,76.86,-3.38,-57.72,Hotel Miramar
